"","Method","alpha","coverage_mean","coverage_stderr","width_mean","width_stderr"
"1","oracle",0.9,0.898134772,0.00029949383718532,81.1989653904719,0.00223629789095082
"2","oracle",0.95,0.948121195,0.000215053452310971,96.5470827567384,0.00279907939418165
"3","oracle",0.99,0.98806672,0.000107504733968537,125.705483644679,0.00516070097742726
"4","opt_nested",0.9,0.886048185,0.000730151399940228,81.0074451190729,0.0038432438561029
"5","opt_nested",0.95,0.939602045,0.000526429569569361,96.3682074328092,0.00462867204807259
"6","opt_nested",0.99,0.984595851,0.000250783171227299,125.402943252441,0.00713456607415366
"7","std_plus",0.9,0.912438369,0.000271574985837951,84.79921055,0.00227531118220506
"8","std_plus",0.95,0.957698873,0.000192086632535471,100.873229675,0.00297069448871993
"9","std_plus",0.99,0.991340382,8.35543967138846e-05,131.367041495,0.00535137911646008
"10","std_nested",0.9,0.999974384,2.4351924918145e-06,235.378525,0.0177967546912252
"11","std_nested",0.95,0.99999785,3.1593273145703e-07,277.177585416667,0.022291814680673
"12","std_nested",0.99,0.999999965,1.24805564921966e-08,348.408167083333,0.0317750204431698
"13","reg_nested",0.9,0.972382242,0.000823870829524495,120.281526058651,0.0183407832975734
"14","reg_nested",0.95,0.99070217,0.000392943612325076,146.347563073674,0.0219023395253519
"15","reg_nested",0.99,0.998975016,7.79463137525919e-05,200.548247052137,0.0304724314600641
